call_id,account_id,agent_id,call_date,call_hour,day_of_week,day_name,call_result,duration_seconds
CALL0000355,ACC00141,A007,2025-06-21,19,6,Saturday,Contacted,92
CALL0000356,ACC00141,A005,2025-11-20,19,2,Tuesday,Contacted,350
CALL0000357,ACC00141,A005,2024-01-15,9,4,Thursday,Voicemail,9
CALL0000358,ACC00142,A005,2025-07-20,19,2,Tuesday,No Answer,5
CALL0000359,ACC00143,A002,2025-01-11,8,4,Thursday,Voicemail,22
CALL0000360,ACC00144,A001,2025-06-11,15,1,Monday,Contacted,310
CALL0000361,ACC00145,A004,2025-08-12,12,2,Tuesday,No Answer,28
CALL0000362,ACC00145,A006,2025-04-23,8,2,Tuesday,Voicemail,26
CALL0000363,ACC00145,A002,2024-04-05,17,4,Thursday,Busy,12
CALL0000364,ACC00146,A010,2024-03-13,8,2,Tuesday,Voicemail,5
CALL0000365,ACC00146,A007,2025-08-30,20,1,Monday,Busy,15
CALL0000366,ACC00146,A003,2025-01-25,15,5,Friday,Busy,24
CALL0000367,ACC00147,A002,2024-08-27,11,3,Wednesday,No Answer,26
CALL0000368,ACC00147,A010,2025-10-02,18,5,Friday,Contacted,46
CALL0000369,ACC00147,A005,2024-08-24,18,2,Tuesday,Contacted,182
CALL0000370,ACC00149,A005,2024-06-30,16,2,Tuesday,Contacted,236
CALL0000371,ACC00149,A008,2025-11-21,16,4,Thursday,Voicemail,6
CALL0000372,ACC00150,A007,2025-06-23,14,6,Saturday,No Answer,16
CALL0000373,ACC00150,A007,2025-01-05,18,2,Tuesday,Contacted,210
CALL0000374,ACC00151,A006,2024-05-16,16,3,Wednesday,Contacted,239
CALL0000375,ACC00151,A005,2024-01-23,16,3,Wednesday,Voicemail,19
CALL0000376,ACC00151,A010,2025-05-06,19,6,Saturday,Contacted,467
CALL0000377,ACC00151,A006,2025-03-08,12,2,Tuesday,Wrong Number,12
CALL0000378,ACC00153,A003,2025-07-16,16,1,Monday,Voicemail,8
CALL0000379,ACC00153,A010,2025-07-17,15,3,Wednesday,Voicemail,23
CALL0000380,ACC00154,A001,2025-11-13,14,7,Sunday,Voicemail,14
CALL0000381,ACC00154,A007,2025-02-22,17,3,Wednesday,No Answer,27
CALL0000382,ACC00154,A001,2025-08-21,9,6,Saturday,No Answer,2
CALL0000383,ACC00155,A006,2024-08-08,18,2,Tuesday,Wrong Number,3
CALL0000384,ACC00155,A006,2025-02-05,15,3,Wednesday,Voicemail,0
CALL0000385,ACC00155,A008,2024-03-19,16,4,Thursday,No Answer,12
CALL0000386,ACC00155,A005,2025-11-09,12,4,Thursday,Busy,6
CALL0000387,ACC00155,A009,2024-07-31,20,3,Wednesday,Wrong Number,18
CALL0000388,ACC00156,A010,2024-10-11,13,6,Saturday,Wrong Number,13
CALL0000389,ACC00156,A003,2024-08-22,15,2,Tuesday,Contacted,300
CALL0000390,ACC00157,A006,2025-03-21,9,6,Saturday,Busy,28
CALL0000391,ACC00157,A004,2025-04-01,10,7,Sunday,Voicemail,1
CALL0000392,ACC00157,A007,2025-07-05,13,5,Friday,Busy,24
CALL0000393,ACC00158,A005,2024-11-04,16,5,Friday,Busy,16
CALL0000394,ACC00158,A007,2025-08-09,11,5,Friday,No Answer,21
CALL0000395,ACC00158,A001,2024-07-19,13,3,Wednesday,Contacted,116
CALL0000396,ACC00158,A006,2024-03-22,19,1,Monday,Wrong Number,19
CALL0000397,ACC00159,A006,2025-09-17,17,1,Monday,Contacted,545
CALL0000398,ACC00160,A004,2025-05-16,15,4,Thursday,No Answer,28
CALL0000399,ACC00161,A005,2025-02-28,10,7,Sunday,Busy,8
CALL0000400,ACC00161,A010,2025-11-27,12,4,Thursday,Contacted,550
CALL0000401,ACC00162,A004,2024-09-07,11,4,Thursday,Busy,6
CALL0000402,ACC00162,A004,2025-01-14,15,3,Wednesday,No Answer,14
CALL0000403,ACC00163,A007,2025-04-02,12,6,Saturday,Wrong Number,5
CALL0000404,ACC00163,A001,2024-05-19,14,7,Sunday,Voicemail,22
CALL0000405,ACC00163,A008,2025-06-05,17,6,Saturday,Wrong Number,26
CALL0000406,ACC00163,A005,2024-09-28,18,7,Sunday,Voicemail,21
CALL0000407,ACC00164,A004,2024-10-19,19,5,Friday,Contacted,392
CALL0000408,ACC00164,A004,2025-04-01,18,5,Friday,No Answer,30
CALL0000409,ACC00164,A003,2025-05-02,14,3,Wednesday,No Answer,8
CALL0000410,ACC00166,A005,2025-03-07,15,1,Monday,Voicemail,6
CALL0000411,ACC00166,A010,2024-03-31,9,5,Friday,Busy,1
CALL0000412,ACC00166,A001,2025-08-25,9,1,Monday,Voicemail,23
CALL0000413,ACC00166,A005,2025-02-22,14,3,Wednesday,Busy,23
CALL0000414,ACC00167,A004,2024-12-17,11,7,Sunday,Wrong Number,11
CALL0000415,ACC00167,A007,2024-12-16,20,6,Saturday,Busy,30
CALL0000416,ACC00167,A001,2025-03-16,20,4,Thursday,No Answer,27
CALL0000417,ACC00168,A004,2024-01-30,19,4,Thursday,Contacted,91
CALL0000418,ACC00168,A002,2024-11-11,16,5,Friday,Contacted,461
CALL0000419,ACC00169,A002,2025-09-04,15,4,Thursday,Voicemail,2
CALL0000420,ACC00170,A005,2025-11-30,19,4,Thursday,Wrong Number,25
CALL0000421,ACC00170,A007,2025-02-15,15,2,Tuesday,Contacted,489
CALL0000422,ACC00171,A008,2025-06-06,17,4,Thursday,No Answer,8
CALL0000423,ACC00171,A003,2025-08-20,14,5,Friday,Wrong Number,17
CALL0000424,ACC00171,A006,2025-09-20,8,3,Wednesday,Contacted,443
CALL0000425,ACC00171,A003,2025-09-06,16,1,Monday,No Answer,8
CALL0000426,ACC00172,A005,2024-08-25,8,2,Tuesday,Wrong Number,13
CALL0000427,ACC00172,A003,2024-01-18,12,6,Saturday,Wrong Number,5
CALL0000428,ACC00172,A009,2024-03-09,12,3,Wednesday,Contacted,120
CALL0000429,ACC00173,A010,2024-02-03,12,2,Tuesday,Busy,17
CALL0000430,ACC00173,A008,2024-04-02,12,5,Friday,Busy,8
CALL0000431,ACC00174,A005,2024-11-05,18,1,Monday,Contacted,298
CALL0000432,ACC00174,A004,2024-04-15,8,6,Saturday,Busy,29
CALL0000433,ACC00175,A005,2025-05-07,17,6,Saturday,Wrong Number,13
CALL0000434,ACC00175,A006,2025-05-23,15,1,Monday,Contacted,238
CALL0000435,ACC00175,A006,2024-03-19,15,2,Tuesday,Contacted,556
CALL0000436,ACC00176,A010,2025-03-04,18,4,Thursday,Contacted,245
CALL0000437,ACC00177,A010,2025-07-04,13,2,Tuesday,Contacted,593
CALL0000438,ACC00177,A002,2024-12-01,13,4,Thursday,Voicemail,22
CALL0000439,ACC00177,A009,2024-06-23,20,4,Thursday,Voicemail,25
CALL0000440,ACC00177,A004,2024-04-23,14,3,Wednesday,Busy,17
CALL0000441,ACC00178,A001,2024-04-09,16,2,Tuesday,No Answer,17
CALL0000442,ACC00178,A007,2024-02-26,20,7,Sunday,Contacted,294
CALL0000443,ACC00178,A003,2024-07-12,12,5,Friday,Busy,9
CALL0000444,ACC00178,A001,2024-04-15,17,6,Saturday,Busy,24
CALL0000445,ACC00179,A005,2024-04-14,11,4,Thursday,Contacted,227
CALL0000446,ACC00179,A002,2024-04-02,20,2,Tuesday,Busy,7
CALL0000447,ACC00179,A002,2024-12-06,19,3,Wednesday,Contacted,85
CALL0000448,ACC00179,A008,2024-11-24,11,2,Tuesday,Voicemail,0
CALL0000449,ACC00180,A006,2024-03-31,17,1,Monday,Contacted,447
CALL0000450,ACC00180,A007,2025-09-20,16,5,Friday,Contacted,497
CALL0000451,ACC00181,A002,2025-03-18,11,5,Friday,Contacted,340
CALL0000452,ACC00181,A010,2025-07-25,18,2,Tuesday,Busy,13
CALL0000453,ACC00181,A010,2025-09-04,12,1,Monday,No Answer,29
CALL0000454,ACC00182,A007,2024-04-15,8,7,Sunday,Wrong Number,20
CALL0000455,ACC00182,A005,2025-09-22,9,1,Monday,Busy,5
CALL0000456,ACC00182,A009,2024-05-17,18,1,Monday,Wrong Number,26
CALL0000457,ACC00182,A007,2024-05-08,10,1,Monday,Voicemail,29
CALL0000458,ACC00183,A001,2025-01-25,19,4,Thursday,Contacted,179
CALL0000459,ACC00184,A001,2025-10-08,12,4,Thursday,No Answer,23
CALL0000460,ACC00184,A003,2024-01-12,13,2,Tuesday,Voicemail,15
CALL0000461,ACC00185,A001,2025-07-18,17,1,Monday,Contacted,179
CALL0000462,ACC00185,A006,2024-02-17,20,4,Thursday,Voicemail,17
CALL0000463,ACC00185,A002,2025-09-22,15,1,Monday,Wrong Number,30
CALL0000464,ACC00186,A009,2024-12-24,9,3,Wednesday,No Answer,10
CALL0000465,ACC00187,A007,2025-10-19,8,7,Sunday,Wrong Number,0
CALL0000466,ACC00187,A001,2024-02-14,12,1,Monday,Busy,8
CALL0000467,ACC00187,A007,2025-03-04,18,6,Saturday,Voicemail,14
CALL0000468,ACC00187,A002,2025-09-13,20,1,Monday,Voicemail,27
CALL0000469,ACC00188,A001,2025-08-21,15,3,Wednesday,Voicemail,6
CALL0000470,ACC00188,A003,2024-04-06,19,3,Wednesday,Wrong Number,25
CALL0000471,ACC00188,A007,2024-08-13,16,3,Wednesday,Wrong Number,23
CALL0000472,ACC00189,A007,2025-09-20,17,2,Tuesday,Contacted,83
CALL0000473,ACC00189,A002,2025-10-24,10,6,Saturday,No Answer,28
CALL0000474,ACC00190,A008,2024-07-17,16,1,Monday,Contacted,313
CALL0000475,ACC00190,A004,2024-03-22,18,4,Thursday,Contacted,47
CALL0000476,ACC00190,A010,2024-12-03,10,5,Friday,Contacted,563
CALL0000477,ACC00190,A002,2024-11-26,18,4,Thursday,Voicemail,9
CALL0000478,ACC00190,A006,2025-08-26,17,1,Monday,No Answer,30
CALL0000479,ACC00191,A007,2025-03-27,10,2,Tuesday,No Answer,30
CALL0000480,ACC00192,A007,2025-10-16,9,4,Thursday,Busy,21
CALL0000481,ACC00192,A009,2025-05-20,8,4,Thursday,Wrong Number,26
CALL0000482,ACC00193,A003,2025-02-27,19,3,Wednesday,Busy,18
CALL0000483,ACC00193,A003,2025-01-11,18,7,Sunday,Busy,27
CALL0000484,ACC00193,A004,2025-06-22,19,5,Friday,No Answer,16
CALL0000485,ACC00194,A009,2025-01-17,11,3,Wednesday,Voicemail,13
CALL0000486,ACC00195,A001,2025-11-28,20,3,Wednesday,Wrong Number,16
CALL0000487,ACC00195,A005,2025-09-17,20,2,Tuesday,Busy,15
CALL0000488,ACC00195,A004,2024-10-14,16,6,Saturday,Busy,2
CALL0000489,ACC00196,A003,2024-07-24,9,3,Wednesday,Voicemail,19
CALL0000490,ACC00196,A005,2025-05-30,17,3,Wednesday,Wrong Number,30
CALL0000491,ACC00197,A008,2024-03-06,17,2,Tuesday,Busy,13
CALL0000492,ACC00198,A005,2024-05-03,19,4,Thursday,Wrong Number,13
CALL0000493,ACC00198,A002,2024-12-08,11,4,Thursday,Contacted,355
CALL0000494,ACC00199,A010,2025-10-18,15,6,Saturday,Wrong Number,16
CALL0000495,ACC00199,A004,2025-03-13,11,5,Friday,No Answer,18
CALL0000496,ACC00199,A007,2024-12-25,18,5,Friday,Contacted,142
CALL0000497,ACC00200,A005,2024-02-08,9,5,Friday,Busy,5
CALL0000498,ACC00200,A010,2024-05-28,10,2,Tuesday,Busy,9
CALL0000499,ACC00200,A005,2024-06-20,15,3,Wednesday,Contacted,562
CALL0000500,ACC00201,A001,2024-02-20,20,5,Friday,No Answer,8
CALL0000501,ACC00201,A004,2024-07-27,11,2,Tuesday,Contacted,371
CALL0000502,ACC00202,A006,2024-09-04,14,6,Saturday,Wrong Number,3
CALL0000503,ACC00202,A010,2024-11-30,12,3,Wednesday,Contacted,280
CALL0000504,ACC00203,A007,2025-02-06,9,6,Saturday,Voicemail,29
CALL0000505,ACC00204,A007,2024-05-21,15,1,Monday,Contacted,241
CALL0000506,ACC00204,A009,2024-11-02,17,1,Monday,Busy,22
CALL0000507,ACC00204,A009,2024-12-23,14,5,Friday,Busy,25
CALL0000508,ACC00205,A004,2024-02-13,10,1,Monday,Voicemail,10
CALL0000509,ACC00205,A006,2025-07-24,11,1,Monday,Voicemail,27
CALL0000510,ACC00206,A010,2024-04-01,19,3,Wednesday,Contacted,252
CALL0000511,ACC00206,A008,2025-01-14,14,4,Thursday,Wrong Number,0
CALL0000512,ACC00207,A010,2024-01-23,19,6,Saturday,Contacted,132
CALL0000513,ACC00207,A005,2025-05-31,9,3,Wednesday,Busy,18
CALL0000514,ACC00207,A002,2024-11-02,9,2,Tuesday,Voicemail,6
CALL0000515,ACC00208,A006,2024-10-09,17,2,Tuesday,Busy,16
CALL0000516,ACC00208,A006,2025-11-09,16,2,Tuesday,Voicemail,12
CALL0000517,ACC00209,A004,2024-02-07,15,3,Wednesday,Contacted,299
CALL0000518,ACC00209,A008,2025-10-15,19,2,Tuesday,Wrong Number,21
CALL0000519,ACC00209,A001,2024-04-14,13,3,Wednesday,Busy,23
CALL0000520,ACC00210,A004,2024-09-29,18,6,Saturday,Contacted,444
CALL0000521,ACC00210,A008,2024-11-01,19,3,Wednesday,Contacted,504
CALL0000522,ACC00210,A005,2024-05-07,20,5,Friday,Contacted,371
CALL0000523,ACC00210,A004,2025-04-18,15,2,Tuesday,Contacted,299
CALL0000524,ACC00211,A006,2025-11-06,12,4,Thursday,Contacted,390
CALL0000525,ACC00211,A006,2025-04-24,20,3,Wednesday,Contacted,258
CALL0000526,ACC00211,A009,2024-10-03,17,5,Friday,No Answer,12
CALL0000527,ACC00212,A003,2025-10-26,14,2,Tuesday,Busy,7
CALL0000528,ACC00212,A010,2025-07-03,14,3,Wednesday,Voicemail,15
CALL0000529,ACC00213,A003,2025-05-14,13,4,Thursday,Wrong Number,1
CALL0000530,ACC00213,A003,2025-06-27,18,2,Tuesday,Busy,13
CALL0000531,ACC00214,A001,2025-11-01,18,4,Thursday,Contacted,337
CALL0000532,ACC00215,A008,2024-09-14,14,4,Thursday,No Answer,8
CALL0000533,ACC00215,A002,2025-11-16,16,5,Friday,Busy,9
CALL0000534,ACC00216,A005,2024-11-23,16,7,Sunday,Busy,15
CALL0000535,ACC00216,A004,2025-01-16,17,3,Wednesday,Contacted,56
CALL0000536,ACC00216,A010,2025-09-15,18,1,Monday,Contacted,386
CALL0000537,ACC00217,A007,2025-11-05,19,5,Friday,No Answer,30
CALL0000538,ACC00217,A007,2025-04-16,16,4,Thursday,Wrong Number,17
CALL0000539,ACC00217,A007,2025-09-03,11,4,Thursday,Contacted,130
CALL0000540,ACC00218,A009,2024-06-08,10,5,Friday,Busy,21
CALL0000541,ACC00218,A007,2025-08-22,15,3,Wednesday,Contacted,232
CALL0000542,ACC00218,A009,2025-05-13,20,3,Wednesday,Voicemail,22
CALL0000543,ACC00218,A009,2025-08-31,14,3,Wednesday,Busy,17
CALL0000544,ACC00219,A004,2024-03-28,20,2,Tuesday,No Answer,24
CALL0000545,ACC00220,A008,2024-03-17,12,1,Monday,Voicemail,5
CALL0000546,ACC00220,A008,2025-10-12,12,4,Thursday,Busy,10
CALL0000547,ACC00220,A001,2025-08-04,14,5,Friday,Voicemail,16
CALL0000548,ACC00221,A006,2025-11-14,8,1,Monday,Busy,25
CALL0000549,ACC00222,A009,2025-03-23,19,4,Thursday,Contacted,55
CALL0000550,ACC00222,A008,2024-06-27,20,3,Wednesday,Wrong Number,7
CALL0000551,ACC00222,A009,2025-08-28,20,5,Friday,Busy,28
CALL0000552,ACC00223,A003,2025-06-19,14,7,Sunday,Contacted,159
CALL0000553,ACC00223,A006,2024-07-19,18,2,Tuesday,Contacted,200
CALL0000554,ACC00223,A009,2024-06-11,18,1,Monday,Contacted,530
CALL0000555,ACC00223,A007,2025-08-04,18,1,Monday,Contacted,343
CALL0000556,ACC00224,A006,2024-11-22,15,2,Tuesday,Wrong Number,29
CALL0000557,ACC00224,A002,2024-08-07,11,5,Friday,Contacted,323
CALL0000558,ACC00224,A004,2024-04-22,16,5,Friday,Voicemail,2
CALL0000559,ACC00224,A001,2025-01-26,19,2,Tuesday,Voicemail,4
CALL0000560,ACC00224,A007,2024-07-30,16,4,Thursday,Busy,14
CALL0000561,ACC00225,A007,2024-04-12,16,6,Saturday,No Answer,8
CALL0000562,ACC00225,A004,2025-11-17,10,1,Monday,Contacted,564
CALL0000563,ACC00226,A008,2024-11-27,12,1,Monday,Contacted,219
CALL0000564,ACC00227,A007,2024-07-31,19,1,Monday,Contacted,523
CALL0000565,ACC00228,A008,2025-04-24,19,1,Monday,Wrong Number,21
CALL0000566,ACC00228,A010,2025-03-21,10,4,Thursday,Wrong Number,4
CALL0000567,ACC00228,A007,2025-01-17,8,3,Wednesday,No Answer,20
CALL0000568,ACC00228,A009,2024-07-08,20,4,Thursday,Contacted,588
CALL0000569,ACC00229,A010,2025-02-08,16,4,Thursday,Contacted,429
CALL0000570,ACC00229,A005,2024-08-15,9,6,Saturday,Wrong Number,27
CALL0000571,ACC00229,A002,2025-11-01,13,3,Wednesday,Wrong Number,9
CALL0000572,ACC00229,A010,2025-08-25,17,3,Wednesday,Contacted,266
CALL0000573,ACC00230,A010,2025-01-31,18,2,Tuesday,No Answer,30
CALL0000574,ACC00230,A010,2025-05-13,17,2,Tuesday,Contacted,147
CALL0000575,ACC00230,A009,2025-04-06,17,1,Monday,Contacted,412
CALL0000576,ACC00231,A001,2024-07-11,14,4,Thursday,Wrong Number,30
CALL0000577,ACC00231,A010,2025-04-18,12,1,Monday,Busy,2
CALL0000578,ACC00231,A003,2024-09-11,17,3,Wednesday,Contacted,379
CALL0000579,ACC00232,A009,2024-01-04,10,1,Monday,No Answer,17
CALL0000580,ACC00232,A004,2025-04-11,14,2,Tuesday,Contacted,267
CALL0000581,ACC00233,A010,2025-01-11,16,5,Friday,Busy,21
CALL0000582,ACC00233,A002,2025-10-16,9,3,Wednesday,Voicemail,27
CALL0000583,ACC00233,A006,2025-05-06,12,6,Saturday,Busy,24
CALL0000584,ACC00234,A009,2024-06-15,18,2,Tuesday,No Answer,4
CALL0000585,ACC00235,A010,2024-03-29,16,3,Wednesday,Wrong Number,18
CALL0000586,ACC00237,A001,2025-09-09,15,3,Wednesday,Wrong Number,22
CALL0000587,ACC00238,A002,2024-12-19,14,3,Wednesday,Contacted,340
CALL0000588,ACC00239,A009,2025-01-26,8,1,Monday,Busy,24
CALL0000589,ACC00240,A008,2024-08-01,11,3,Wednesday,Contacted,600
CALL0000590,ACC00240,A007,2025-02-17,15,6,Saturday,No Answer,0
CALL0000591,ACC00240,A004,2024-10-13,11,3,Wednesday,Wrong Number,21
CALL0000592,ACC00241,A003,2025-10-16,18,5,Friday,Contacted,261
CALL0000593,ACC00241,A008,2024-09-27,16,3,Wednesday,Wrong Number,10
CALL0000594,ACC00241,A005,2024-09-27,20,3,Wednesday,Voicemail,17
CALL0000595,ACC00241,A004,2025-06-30,19,4,Thursday,Wrong Number,23
CALL0000596,ACC00242,A005,2025-07-08,9,3,Wednesday,Contacted,379
CALL0000597,ACC00242,A010,2024-06-15,15,3,Wednesday,Voicemail,26
CALL0000598,ACC00242,A001,2024-11-02,18,3,Wednesday,Contacted,140
CALL0000599,ACC00242,A005,2025-05-10,20,4,Thursday,Wrong Number,11
CALL0000600,ACC00243,A003,2024-12-25,14,3,Wednesday,Wrong Number,4
CALL0000601,ACC00243,A001,2025-01-31,17,2,Tuesday,Voicemail,30
CALL0000602,ACC00243,A009,2024-07-27,16,4,Thursday,Contacted,419
CALL0000603,ACC00244,A007,2025-03-02,8,3,Wednesday,Busy,29
CALL0000604,ACC00244,A010,2024-03-10,11,1,Monday,Wrong Number,1
CALL0000605,ACC00244,A001,2025-03-29,19,6,Saturday,Voicemail,14
CALL0000606,ACC00244,A004,2025-10-31,11,4,Thursday,Busy,12
CALL0000607,ACC00245,A002,2025-08-26,11,5,Friday,Wrong Number,2
CALL0000608,ACC00245,A009,2024-02-26,20,5,Friday,No Answer,4
CALL0000609,ACC00246,A004,2024-06-25,11,5,Friday,Busy,9
CALL0000610,ACC00246,A003,2024-06-16,11,5,Friday,No Answer,25
CALL0000611,ACC00246,A001,2024-08-08,17,6,Saturday,Contacted,418
CALL0000612,ACC00247,A004,2024-01-29,19,7,Sunday,Voicemail,22
CALL0000613,ACC00247,A004,2025-11-27,19,3,Wednesday,Contacted,163
CALL0000614,ACC00247,A005,2024-12-15,15,6,Saturday,Busy,19
CALL0000615,ACC00248,A007,2025-06-01,13,3,Wednesday,No Answer,25
CALL0000616,ACC00249,A008,2024-09-28,12,6,Saturday,Voicemail,17
CALL0000617,ACC00249,A003,2024-12-14,11,1,Monday,No Answer,8
CALL0000618,ACC00249,A006,2025-01-05,13,2,Tuesday,Contacted,36
CALL0000619,ACC00249,A006,2024-09-10,20,3,Wednesday,Busy,11
CALL0000620,ACC00250,A007,2025-05-06,16,7,Sunday,Wrong Number,17
CALL0000621,ACC00250,A002,2024-01-29,17,1,Monday,Busy,5
CALL0000622,ACC00250,A010,2024-09-12,19,6,Saturday,Contacted,125
CALL0000623,ACC00250,A008,2024-11-29,16,7,Sunday,Busy,17
CALL0000624,ACC00251,A003,2025-05-10,10,6,Saturday,No Answer,8
CALL0000625,ACC00251,A008,2024-11-13,16,5,Friday,Contacted,145
CALL0000626,ACC00251,A004,2025-11-13,16,2,Tuesday,Contacted,38
CALL0000627,ACC00252,A002,2024-07-06,16,4,Thursday,No Answer,10
CALL0000628,ACC00253,A001,2024-07-02,16,2,Tuesday,Busy,30
CALL0000629,ACC00253,A008,2024-05-30,17,5,Friday,No Answer,2
CALL0000630,ACC00253,A009,2025-01-04,12,7,Sunday,Contacted,312
CALL0000631,ACC00254,A007,2024-05-20,17,5,Friday,Contacted,305
CALL0000632,ACC00254,A002,2025-03-01,10,3,Wednesday,No Answer,24
CALL0000633,ACC00255,A001,2025-02-19,17,4,Thursday,Contacted,204
CALL0000634,ACC00255,A009,2024-08-23,19,3,Wednesday,Voicemail,9
CALL0000635,ACC00256,A004,2024-07-12,11,4,Thursday,Wrong Number,4
CALL0000636,ACC00256,A002,2025-07-22,11,4,Thursday,Wrong Number,1
CALL0000637,ACC00256,A008,2024-09-22,13,7,Sunday,Busy,12
CALL0000638,ACC00256,A008,2024-03-18,12,5,Friday,No Answer,19
CALL0000639,ACC00258,A003,2024-04-19,16,4,Thursday,Wrong Number,21
CALL0000640,ACC00258,A009,2024-01-29,17,3,Wednesday,No Answer,3
CALL0000641,ACC00259,A001,2024-12-27,10,2,Tuesday,Contacted,490
CALL0000642,ACC00260,A003,2025-08-12,17,2,Tuesday,Voicemail,16
CALL0000643,ACC00260,A006,2025-08-30,19,3,Wednesday,Voicemail,29
CALL0000644,ACC00260,A005,2024-05-07,9,6,Saturday,Wrong Number,2
CALL0000645,ACC00260,A008,2025-09-07,10,1,Monday,Voicemail,26
CALL0000646,ACC00261,A008,2024-04-23,20,7,Sunday,Voicemail,17
CALL0000647,ACC00261,A009,2024-08-31,16,2,Tuesday,Contacted,111
CALL0000648,ACC00262,A008,2024-08-31,17,2,Tuesday,Wrong Number,23
CALL0000649,ACC00262,A003,2024-08-29,18,4,Thursday,Wrong Number,15
CALL0000650,ACC00262,A005,2024-09-21,12,4,Thursday,Contacted,380
CALL0000651,ACC00262,A006,2025-09-29,19,4,Thursday,Contacted,415
CALL0000652,ACC00263,A009,2024-12-11,19,5,Friday,Busy,28
CALL0000653,ACC00263,A004,2025-11-23,17,6,Saturday,No Answer,24
CALL0000654,ACC00264,A010,2025-06-30,17,4,Thursday,Contacted,512
CALL0000655,ACC00264,A010,2025-03-04,20,4,Thursday,Voicemail,0
CALL0000656,ACC00265,A007,2024-12-28,15,3,Wednesday,Contacted,201
CALL0000657,ACC00266,A004,2024-05-21,10,2,Tuesday,Contacted,63
CALL0000658,ACC00266,A005,2025-02-26,18,2,Tuesday,No Answer,22
CALL0000659,ACC00267,A004,2025-10-06,20,6,Saturday,Busy,14
CALL0000660,ACC00267,A005,2024-04-21,20,1,Monday,Busy,12
CALL0000661,ACC00267,A001,2024-03-08,12,7,Sunday,No Answer,28
CALL0000662,ACC00267,A006,2025-10-11,9,2,Tuesday,Busy,6
CALL0000663,ACC00268,A004,2024-10-06,15,2,Tuesday,Contacted,581
CALL0000664,ACC00268,A008,2025-10-24,18,4,Thursday,Wrong Number,25
CALL0000665,ACC00268,A007,2024-03-25,20,2,Tuesday,Busy,5
CALL0000666,ACC00269,A001,2024-06-16,18,3,Wednesday,Wrong Number,10
CALL0000667,ACC00269,A001,2024-02-13,18,1,Monday,No Answer,22
CALL0000668,ACC00269,A005,2025-03-18,12,3,Wednesday,Contacted,349
CALL0000669,ACC00270,A001,2025-05-30,15,6,Saturday,Voicemail,8
CALL0000670,ACC00271,A003,2024-10-17,11,2,Tuesday,Wrong Number,19
CALL0000671,ACC00271,A010,2024-03-03,18,3,Wednesday,Contacted,304
CALL0000672,ACC00271,A010,2024-08-18,17,2,Tuesday,Contacted,439
CALL0000673,ACC00273,A009,2024-08-05,18,5,Friday,Voicemail,5
CALL0000674,ACC00273,A009,2025-04-25,16,2,Tuesday,Busy,26
CALL0000675,ACC00274,A004,2024-08-14,11,7,Sunday,Voicemail,7
CALL0000676,ACC00275,A008,2024-08-23,15,1,Monday,Contacted,330
CALL0000677,ACC00276,A003,2024-01-23,17,4,Thursday,Contacted,499
CALL0000678,ACC00276,A007,2024-02-26,11,3,Wednesday,Contacted,104
CALL0000679,ACC00276,A002,2024-02-19,10,5,Friday,No Answer,15
CALL0000680,ACC00276,A010,2025-01-09,20,3,Wednesday,No Answer,25
CALL0000681,ACC00277,A005,2024-09-30,17,5,Friday,Contacted,185
CALL0000682,ACC00277,A006,2024-12-15,14,1,Monday,Busy,11
CALL0000683,ACC00277,A008,2024-03-30,10,2,Tuesday,No Answer,30
CALL0000684,ACC00277,A001,2025-06-13,9,1,Monday,Voicemail,28
CALL0000685,ACC00277,A002,2024-12-23,18,2,Tuesday,Voicemail,29
CALL0000686,ACC00278,A008,2025-04-26,10,5,Friday,Voicemail,11
CALL0000687,ACC00278,A009,2024-05-04,19,3,Wednesday,Busy,30
CALL0000688,ACC00278,A007,2025-10-08,17,7,Sunday,No Answer,26
CALL0000689,ACC00279,A007,2025-02-24,10,6,Saturday,Voicemail,28
CALL0000690,ACC00280,A001,2024-05-14,8,5,Friday,No Answer,10
CALL0000691,ACC00281,A007,2024-02-26,12,4,Thursday,Voicemail,21
CALL0000692,ACC00281,A007,2025-09-01,15,6,Saturday,Busy,22
CALL0000693,ACC00283,A005,2024-02-13,18,4,Thursday,Contacted,110
CALL0000694,ACC00283,A009,2025-03-03,18,6,Saturday,Busy,15
CALL0000695,ACC00283,A007,2025-06-21,15,1,Monday,No Answer,8
CALL0000696,ACC00283,A009,2025-11-03,10,7,Sunday,No Answer,13
CALL0000697,ACC00284,A007,2025-07-02,18,1,Monday,Voicemail,29
CALL0000698,ACC00284,A006,2025-09-02,9,3,Wednesday,Contacted,420
CALL0000699,ACC00285,A008,2025-07-24,16,2,Tuesday,No Answer,0
CALL0000700,ACC00285,A002,2024-06-08,17,2,Tuesday,Contacted,597
CALL0000701,ACC00285,A004,2025-11-20,17,6,Saturday,Busy,14
CALL0000702,ACC00285,A009,2024-12-26,14,1,Monday,No Answer,30
CALL0000703,ACC00285,A005,2024-08-15,9,3,Wednesday,Voicemail,3
CALL0000704,ACC00286,A007,2024-10-17,16,2,Tuesday,No Answer,8
CALL0000705,ACC00286,A006,2025-05-07,12,1,Monday,Wrong Number,14
CALL0000706,ACC00287,A005,2025-07-28,13,3,Wednesday,Contacted,465
CALL0000707,ACC00288,A005,2024-02-16,13,4,Thursday,Wrong Number,6
CALL0000708,ACC00288,A004,2024-09-11,19,1,Monday,Contacted,479
